Date,Open,High,Low,Close,Adj Close,Volume,Daily_Return,Price_Range,Volatility,Volume_Change,MA_7,MA_30,Momentum,Cluster
2014-09-17,465.864013671875,468.1740112304688,452.4219970703125,457.3340148925781,457.3340148925781,21056800.0,-0.01831006158227294,0.03481708286104451,22.888466875863685,0.6376277497055582,417.4625723702567,384.11280110677086,-57.81402587890625,0
2014-09-18,456.8599853515625,456.8599853515625,413.10400390625,424.4400024414063,424.4400024414063,34483200.0,-0.07096262301284363,0.10592001295451617,22.888466875863685,0.6376277497055582,417.4625723702567,384.11280110677086,-57.81402587890625,2
2014-09-19,424.1029968261719,427.8349914550781,384.5320129394531,394.7959899902344,394.7959899902344,37919700.0,-0.06910351272040087,0.11261215466719364,22.888466875863685,0.09965722438752778,417.4625723702567,384.11280110677086,-57.81402587890625,2
2014-09-20,394.6730041503906,423.2959899902344,389.8829956054688,408.9039916992188,408.9039916992188,36863600.0,0.03605766647116671,0.08570005555866025,22.888466875863685,-0.027850958736487907,417.4625723702567,384.11280110677086,-57.81402587890625,0
2014-09-21,408.0849914550781,412.4259948730469,393.1809997558594,398.8210144042969,398.8210144042969,26580100.0,-0.022701097185048095,0.04894691027576976,22.888466875863685,-0.27896081771720616,417.4625723702567,384.11280110677086,-57.81402587890625,0
2014-09-22,399.1000061035156,406.9159851074219,397.1300048828125,402.1520080566406,402.1520080566406,24127600.0,0.0076472109908547435,0.024641754851782303,22.888466875863685,-0.09226827589060993,417.4625723702567,384.11280110677086,-57.81402587890625,0
2014-09-23,402.0920104980469,441.5570068359375,396.1969909667969,435.7909851074219,435.7909851074219,45099500.0,0.08380911266462154,0.11448854207209767,22.888466875863685,0.8692078781146901,417.4625723702567,384.11280110677086,-57.81402587890625,0
2014-09-24,435.7510070800781,436.1119995117188,421.1319885253906,423.2049865722656,423.2049865722656,30627700.0,-0.028791718903605226,0.03557082196197266,15.38471229381332,-0.320886040865198,412.58699689592635,384.11280110677086,-57.81402587890625,0
2014-09-25,423.156005859375,423.5199890136719,409.4679870605469,411.5740051269531,411.5740051269531,26814400.0,-0.027370521916380067,0.03431770589442239,14.474235431249099,-0.12450494160514824,410.7489972795759,384.11280110677086,-57.81402587890625,0
2014-09-26,411.4289855957031,414.93798828125,400.0090026855469,404.4249877929688,404.4249877929688,21460800.0,-0.017023588633633367,0.03732162400214534,13.097520319304405,-0.19965391729816817,412.1245683942522,384.11280110677086,-57.81402587890625,0
2014-09-27,403.5559997558594,406.62298583984375,397.37200927734375,399.5199890136719,399.5199890136719,15029300.0,-0.01000111693204705,0.02328039304862897,13.935527789994527,-0.299685939014389,410.78399658203125,384.11280110677086,-57.81402587890625,0
2014-09-28,399.4710083007813,401.0169982910156,374.3320007324219,377.1809997558594,377.1809997558594,23613300.0,-0.05579881413606539,0.07128697922267294,18.63841667530731,0.5711510183441677,407.69256591796875,384.11280110677086,-47.25900268554693,2
